zhAddress,zhLink,zhName,zhNum,zhTime,zhType
深圳,position_detail.php?id=47338&keywords=&tid=0&lid=0,TME-腾讯音乐全民K歌UI视觉设计师（深圳）,2,2019-01-30,设计类
深圳,position_detail.php?id=47339&keywords=&tid=0&lid=0,30624-腾讯广告行业拓展销售经理（深圳）,2,2019-01-30,市场类
深圳,position_detail.php?id=47328&keywords=&tid=0&lid=0,18796-渠道运营经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47329&keywords=&tid=0&lid=0,15569-魂斗罗高级美术项目管理,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47330&keywords=&tid=0&lid=0,27553-多媒体机器学习算法研究员,1,2019-01-30,技术类
深圳,position_detail.php?id=47331&keywords=&tid=0&lid=0,18428-财付通平台组件测试工程师,1,2019-01-30,技术类
香港,position_detail.php?id=47332&keywords=&tid=0&lid=0,HGJ-Legal Counsel (Technology Transactions),1,2019-01-30,职能类
香港,position_detail.php?id=47333&keywords=&tid=0&lid=0,HGJ-Senior Legal Counsel (AML Advisory),1,2019-01-30,职能类
深圳,position_detail.php?id=47322&keywords=&tid=0&lid=0,28603-122 业务系统工业化nlp高级工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47350&keywords=&tid=0&lid=0,22989-腾讯云网络规划工程师（深圳）,1,2019-01-30,技术类
北京,position_detail.php?id=47351&keywords=&tid=0&lid=0,25664-商务运营高级经理（北京、上海、成都）,3,2019-01-30,市场类
深圳,position_detail.php?id=47340&keywords=&tid=0&lid=0,PCG19-腾讯视频TV产品经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47341&keywords=&tid=0&lid=0,TEG05-品牌管理经理（深圳）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47342&keywords=&tid=0&lid=0,TEG05-高级安全策略工程师（深圳）,1,2019-01-30,技术类
深圳,position_detail.php?id=47343&keywords=&tid=0&lid=0,27216-腾讯乘车码-客户端资深开发工程师,2,2019-01-30,技术类
深圳,position_detail.php?id=47344&keywords=&tid=0&lid=0,25667-区域渠道销售经理（深圳/北京/上海）,3,2019-01-30,市场类
北京,position_detail.php?id=47345&keywords=&tid=0&lid=0,25667-渠道培训运营经理（北京、上海）,2,2019-01-30,市场类
深圳,position_detail.php?id=47335&keywords=&tid=0&lid=0,15605-动作RPG类手游商业化运营,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47336&keywords=&tid=0&lid=0,15605-动作RPG类游戏运营数据分析,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47366&keywords=&tid=0&lid=0,25663-泛互联网行业产品副组长（电商、生活互联方向）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47367&keywords=&tid=0&lid=0,25663-泛互联网行业产品副组长（游戏、文创方向）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47368&keywords=&tid=0&lid=0,29777-金融云资管行业售前架构师（北上深）（深圳总部）,1,2019-01-30,技术类
北京,position_detail.php?id=47369&keywords=&tid=0&lid=0,29777-金融云资管行业售前架构师（北上深）（北京）,1,2019-01-30,技术类
深圳,position_detail.php?id=47360&keywords=&tid=0&lid=0,15612-游戏制作人/主策划（深圳）,1,2019-01-30,产品/项目类
北京,position_detail.php?id=47361&keywords=&tid=0&lid=0,23671-短视频制片人,1,2019-01-30,内容编辑类
深圳,position_detail.php?id=47362&keywords=&tid=0&lid=0,21882-医疗资讯产品中心—高级交互设计师（深圳）,1,2019-01-30,设计类
北京,position_detail.php?id=47363&keywords=&tid=0&lid=0,23486-证券社区运营经理（北京）,1,2019-01-30,产品/项目类
深圳,position_detail.php?id=47358&keywords=&tid=0&lid=0,18425- 港澳及跨境金融高级政务经理,1,2019-01-30,职能类
深圳,position_detail.php?id=47359&keywords=&tid=0&lid=0,PCG17-QQ钱包后台开发工程师（深圳）,1,2019-01-30,技术类
成都,position_detail.php?id=47380&keywords=&tid=0&lid=0,22989-腾讯云serverless运营开发工程师（成都）,2,2019-01-30,技术类
深圳,position_detail.php?id=47381&keywords=&tid=0&lid=0,22989-云计算规划架构师,2,2019-01-30,技术类
